KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL SEMARANG;AREA SURAKARTA;CP KLATEN;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL SEMARANG;AREA SURAKARTA;CP GADING;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL SEMARANG;AREA YOGYAKARTA;CP JOGOYUDAN;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL SEMARANG;AREA SURAKARTA;CP BOYOLALI;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL SEMARANG;AREA YOGYAKARTA;CP TUGUKULON;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL SEMARANG;AREA SEMARANG;CP PEDURUNGAN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL SEMARANG;AREA SURAKARTA;CP PURWOTOMO;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL SEMARANG;AREA PURWOKERTO;CP TEMANGGUNG;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL SEMARANG;AREA PURWOKERTO;CP WONOSOBO;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL SURABAYA;AREA MALANG;CP KOTALAMA;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL SURABAYA;AREA PAMEKASAN;CPS SUMENEP;SYARIAH;FRONTLINER;FRONTLINER;70,83333333
KANWIL SURABAYA;AREA PAMEKASAN;CPS BLEGA;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL SURABAYA;AREA PAMEKASAN;CPS BANGKALAN;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL SURABAYA;AREA MALANG;CP SINGOSARI;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL SURABAYA;AREA PROBOLINGGO;CP PASURUAN;KONVEN;FRONTLINER;FRONTLINER;75
